|autor|ciudades|conteo_retweets|empresas|fecha_creacion|palabras_clave|texto
1|joshrsp||0|EMCALI|Fri Sep 14 21:30:18 +0000 2018|Sin luz|@EMCALIoficial llevamos como 18 horas sin luz en ciudad jardin, Qué esta pasando?
2|nyrojasr||0|Codensa|Fri Sep 14 21:40:26 +0000 2018|Apagón|@CodensaEnergia ¿A qué se debe el apagón en Ciudad Salitre Oriental? @asobel https://t.co/hlY8zHvTsy
3|aylinmar2||0|Electricaribe|Fri Sep 14 21:45:44 +0000 2018|Sin luz|Oyeme 5 dias sin luz Cuanto mas hay que esperar?? @ElectricaribeSA respeten! 😡😡
4|ilanoohotmailc1| Cali |0|EMCALI|Fri Sep 14 21:48:58 +0000 2018|Sin energía|@EMCALIoficial 23 Horas sin energía en Los Cristales. No hay derecho que brise en Cali y se vaya la luz cada vez. E… https://t.co/8Gha0ZzqCu
5|ilanoohotmailc1| Cali |0|EMCALI|Fri Sep 14 21:49:38 +0000 2018|Sin energía|@EMCALIoficial 23 Horas sin energía en Los Cristales. No hay derecho que brise en Cali y se vaya la luz cada vez. E… https://t.co/uUTzRl9qky
6|ilanoohotmailc1| Cali |0|EMCALI|Fri Sep 14 21:50:03 +0000 2018|Sin energía|@EMCALIoficial 23 Horas sin energía en Los Cristales. No hay derecho que brise en Cali y se vaya la luz cada vez. E… https://t.co/mS11xfgyq1
7|ilanoohotmailc1||0|EMCALI|Fri Sep 14 21:50:11 +0000 2018|Sin energía|@EMCALIoficial @TelepacificoTV @EnterateCali @CaliSosVos @TwiterosCali 23 Horas sin energía en Los Cristales. No ha… https://t.co/yBwAZtGMwj
0|amcervino||0|EMCALI|Fri Sep 14 22:19:18 +0000 2018|Sin energía|Vamos para 24 horas sin energía en el sur de Cali!! @EMCALIoficial qué pasa???
1|elnegrocande||0|EMCALI|Fri Sep 14 22:32:23 +0000 2018|Sin energía|Próximo a cumplir 24 hrs sin energía en la casa @EMCALIoficial seguimos en modo ahorro, que calidad .👍🏾
2|Clapagago62||0|Electricaribe|Fri Sep 14 23:01:22 +0000 2018|Sin luz|@ElectricaribeSA  otra vez sin luz en el rodadero, ahora todos los dias nos quitan la luz a las 6 de la tarde
3|ViejoWilfre||3|EMCALI|Fri Sep 14 23:03:37 +0000 2018|Sin energía|RT @velascoluisf: Señores @EMCALIoficial @ServiciosEmcali , sigue Pance sin energía eléctrica desde anoche. Con respeto, podrían darnos la…
4|ViejoWilfre| Cali |0||Fri Sep 14 23:13:32 +0000 2018|Sin energía|#AEstaHora daño energía sur de cali colapsa @MovilidadCali desde ayer sin energía ciudad jardín, Pance Buitrera. Gr… https://t.co/DvrZD7x1Ca
5|ari_asher| Cali |0|EMCALI|Fri Sep 14 23:15:29 +0000 2018|Sin energía|@EMCALIoficial desde las 4 am el sur de cali hoy 14 de septiembre se quedó sin energía. Son las 6 de la tarde y no… https://t.co/0JXwlN7kGU
0|deerecomunsas||0|Electricaribe|Fri Sep 14 23:17:26 +0000 2018|Sin energía|@ElectricaribeSA, @AtlanticoEmi, @jorgecura1070, Otro día más sin energía desde 06 Sep/18, Nic: 2260552, orden de s… https://t.co/nUbTzo7Fow
1|Misaelbtter||1|Electricaribe|Fri Sep 14 23:19:51 +0000 2018|Sin energía|RT @deerecomunsas: @ElectricaribeSA, @AtlanticoEmi, @jorgecura1070, Otro día más sin energía desde 06 Sep/18, Nic: 2260552, orden de servic…
2|juancor83||0|Codensa|Fri Sep 14 23:20:00 +0000 2018|Sin energía|En menos de 24 horas nuevamente sin energía @Superservicios. Increíble el pésimo servicio de @CodensaEnergia
